food_number,food_name,cal_per_hundred
1142,ライむぎ　全粒粉　　　,334
1143,ライむぎ　ライ麦粉　　　,351
1166,穀類混合品　五穀　,357
2001,＜いも類＞きくいも　塊茎　生　　　,35
2041,＜いも類＞きくいも　塊茎　水煮　　　,28
2002,＜いも類＞こんにゃく　精粉　　　,177
2003,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,5
2004,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,7
2042,＜いも類＞こんにゃく　赤こんにゃく　　　,5
2043,＜いも類＞こんにゃく　凍みこんにゃく　乾　　,167
2044,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,36
2005,＜いも類＞こんにゃく　しらたき　　　,6
2006,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,134
2007,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,134
2008,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,163
2045,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,140
2046,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,140
2047,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,221
2009,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,303
2048,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,133
2049,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,132
2010,＜いも類＞（さといも類）　さといも　球茎　生　　,58
2011,＜いも類＞（さといも類）　さといも　球茎　水煮　　,59
2012,＜いも類＞（さといも類）　さといも　球茎　冷凍　　,72
2050,＜いも類＞（さといも類）　セレベス　球茎　生　　,89
2051,＜いも類＞（さといも類）　セレベス　球茎　水煮　　,85
2052,＜いも類＞（さといも類）　たけのこいも　球茎　生　　,103
2053,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,96
2013,＜いも類＞（さといも類）　みずいも　球茎　生　　,117
2014,＜いも類＞（さといも類）　みずいも　球茎　水煮　　,110
2015,＜いも類＞（さといも類）　やつがしら　球茎　生　　,97
