food_number,food_name,cal
02007,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,134
02008,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,163
02045,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,140
02046,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,140
02047,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,221
02009,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,303
02048,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,133
02049,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,132
02010,＜いも類＞（さといも類）　さといも　球茎　生　　,58
02011,＜いも類＞（さといも類）　さといも　球茎　水煮　　,59
02012,＜いも類＞（さといも類）　さといも　球茎　冷凍　　,72
02050,＜いも類＞（さといも類）　セレベス　球茎　生　　,89
02051,＜いも類＞（さといも類）　セレベス　球茎　水煮　　,85
02052,＜いも類＞（さといも類）　たけのこいも　球茎　生　　,103
02053,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,96
02013,＜いも類＞（さといも類）　みずいも　球茎　生　　,117
02014,＜いも類＞（さといも類）　みずいも　球茎　水煮　　,110
02015,＜いも類＞（さといも類）　やつがしら　球茎　生　　,97
02016,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,93
02017,＜いも類＞じゃがいも　塊茎　生　　　,76
02018,＜いも類＞じゃがいも　塊茎　蒸し　　　,84
02019,＜いも類＞じゃがいも　塊茎　水煮　　　,73
02020,＜いも類＞じゃがいも　フライドポテト　　　,237
02021,＜いも類＞じゃがいも　乾燥マッシュポテト　　　,357
02054,＜いも類＞ヤーコン　塊根　生　　　,54
02055,＜いも類＞ヤーコン　塊根　水煮　　　,44
02022,＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　,108
02023,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　,65
02024,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　,59
02025,＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　,123
